File_Name	nsd_id	cocoId	HED_short	HED_long
shared0001_nsd02951.png	2950	262145	"(Foreground-view, ((Item-count, High), Ingestible-object)), (Background-view, ((Human, Body, Agent-trait/Adult), Outdoors, Furnishing, Natural-feature/Sky, Urban, Man-made-object))"	"(Property/Sensory-property/Sensory-presentation/Visual-presentation/Foreground-view,((Property/Data-property/Data-value/Quantitative-value/Item-count,Property/Data-property/Data-value/Categorical-value/Categorical-level-value/High),Item/Object/Ingestible-object)),(Property/Sensory-property/Sensory-presentation/Visual-presentation/Background-view,((Item/Biological-item/Organism/Human,Item/Biological-item/Anatomical-item/Body,Property/Agent-property/Agent-trait/Adult),Property/Environmental-property/Outdoors,Item/Object/Man-made-object/Furnishing,Item/Object/Natural-object/Natural-feature/Sky,Property/Environmental-property/Urban,Item/Object/Man-made-object))"
shared0002_nsd02991.png	2990	262239	"(Foreground-view, ((Item-count/1, (Human, Body, Female, Agent-trait/Adult)), (Item-count/1, (Human, Body, (Face, Away-from), Male, Agent-trait/Adult)), ((Item-count, High), Furnishing))), (Background-view, (Ingestible-object, Furnishing, Room, Indoors, Man-made-object, Assistive-device))"	"(Property/Sensory-property/Sensory-presentation/Visual-presentation/Foreground-view,((Property/Data-property/Data-value/Quantitative-value/Item-count/1,(Item/Biological-item/Organism/Human,Item/Biological-item/Anatomical-item/Body,Property/Agent-property/Agent-trait/Sex/Female,Property/Agent-property/Agent-trait/Adult)),(Property/Data-property/Data-value/Quantitative-value/Item-count/1,(Item/Biological-item/Organism/Human,Item/Biological-item/Anatomical-item/Body,(Item/Biological-item/Anatomical-item/Body-part/Head/Face,Relation/Directional-relation/Away-from),Property/Agent-property/Agent-trait/Sex/Male,Property/Agent-property/Agent-trait/Adult)),((Property/Data-property/Data-value/Quantitative-value/Item-count,Property/Data-property/Data-value/Categorical-value/Categorical-level-value/High),Item/Object/Man-made-object/Furnishing))),(Property/Sensory-property/Sensory-presentation/Visual-presentation/Background-view,(Item/Object/Ingestible-object,Item/Object/Man-made-object/Furnishing,Item/Object/Man-made-object/Building/Room,Property/Environmental-property/Indoors,Item/Object/Man-made-object,Item/Object/Man-made-object/Device/Assistive-device))"
shared0003_nsd03050.png	3049	262414	"(Foreground-view, ((Item-count/1, ((Human, Human-agent), Body, Male, Agent-trait/Adolescent, Play)), (Item-count/1, Man-made-object))), (Background-view, (Outdoors, Natural-feature/Ocean))"	"(Property/Sensory-property/Sensory-presentation/Visual-presentation/Foreground-view,((Property/Data-property/Data-value/Quantitative-value/Item-count/1,((Item/Biological-item/Organism/Human,Agent/Human-agent),Item/Biological-item/Anatomical-item/Body,Property/Agent-property/Agent-trait/Sex/Male,Property/Agent-property/Agent-trait/Adolescent,Action/Perform/Play)),(Property/Data-property/Data-value/Quantitative-value/Item-count/1,Item/Object/Man-made-object))),(Property/Sensory-property/Sensory-presentation/Visual-presentation/Background-view,(Property/Environmental-property/Outdoors,Item/Object/Natural-object/Natural-feature/Ocean))"
shared0004_nsd03078.png	3077	524646	"(Foreground-view, ((Item-count/1, ((Human, Human-agent), Body, Male, Agent-trait/Adult, Play)), (Item-count/1, River), (Item-count/4, Man-made-object), Terrain/Sand)), (Background-view, (Mountain, Plant, Outdoors, Rural))"	"(Property/Sensory-property/Sensory-presentation/Visual-presentation/Foreground-view,((Property/Data-property/Data-value/Quantitative-value/Item-count/1,((Item/Biological-item/Organism/Human,Agent/Human-agent),Item/Biological-item/Anatomical-item/Body,Property/Agent-property/Agent-trait/Sex/Male,Property/Agent-property/Agent-trait/Adult,Action/Perform/Play)),(Property/Data-property/Data-value/Quantitative-value/Item-count/1,Item/Object/Natural-object/Natural-feature/River),(Property/Data-property/Data-value/Quantitative-value/Item-count/4,Item/Object/Man-made-object),Property/Environmental-property/Terrain/Sand)),(Property/Sensory-property/Sensory-presentation/Visual-presentation/Background-view,(Item/Object/Natural-object/Natural-feature/Mountain,Item/Biological-item/Organism/Plant,Property/Environmental-property/Outdoors,Property/Environmental-property/Rural))"
shared0005_nsd03147.png	3146	262690	"(Foreground-view, ((Item-count/1, Building), (Item-count/1, Clock-face), (Item-count/1, Roof), (Item-Count/1, Entrance))), (Background-view, (Grassy-terrain,  Path, Natural-feature/Sky, Outdoors))"	"(Property/Sensory-property/Sensory-presentation/Visual-presentation/Foreground-view,((Property/Data-property/Data-value/Quantitative-value/Item-count/1,Item/Object/Man-made-object/Building),(Property/Data-property/Data-value/Quantitative-value/Item-count/1,Item/Object/Man-made-object/Device/Measurement-device/Clock/Clock-face),(Property/Data-property/Data-value/Quantitative-value/Item-count/1,Item/Object/Man-made-object/Building/Roof),(Property/Data-property/Data-value/Quantitative-value/Item-count/1,Item/Object/Man-made-object/Building/Entrance))),(Property/Sensory-property/Sensory-presentation/Visual-presentation/Background-view,(Property/Environmental-property/Terrain/Grassy-terrain,Item/Object/Man-made-object/Navigational-object/Path,Item/Object/Natural-object/Natural-feature/Sky,Property/Environmental-property/Outdoors))"
shared0006_nsd03158.png	3157	584	"(Foreground-view, ((Item-count, High), Ingestible-object)), (Background-view, (Furnishing))"	"(Property/Sensory-property/Sensory-presentation/Visual-presentation/Foreground-view,((Property/Data-property/Data-value/Quantitative-value/Item-count,Property/Data-property/Data-value/Categorical-value/Categorical-level-value/High),Item/Object/Ingestible-object)),(Property/Sensory-property/Sensory-presentation/Visual-presentation/Background-view,(Item/Object/Man-made-object/Furnishing))"
shared0007_nsd03165.png	3164	605	"(Foreground-view, ((Item-count/1, Ingestible-object), (Item-count/2, Furnishing), (Item-count/1, Assistive-device))), (Background-view, (Ingestible-object, Furnishing))"	"(Property/Sensory-property/Sensory-presentation/Visual-presentation/Foreground-view,((Property/Data-property/Data-value/Quantitative-value/Item-count/1,Item/Object/Ingestible-object),(Property/Data-property/Data-value/Quantitative-value/Item-count/2,Item/Object/Man-made-object/Furnishing),(Property/Data-property/Data-value/Quantitative-value/Item-count/1,Item/Object/Man-made-object/Device/Assistive-device))),(Property/Sensory-property/Sensory-presentation/Visual-presentation/Background-view,(Item/Object/Ingestible-object,Item/Object/Man-made-object/Furnishing))"
shared0008_nsd03172.png	3171	625	"(Foreground-view, ((Item-count/3, ((Human, Human-agent), Body, Female, Agent-trait/Adolescent, Play)), (Item-count/1, Man-made-object/Toy))), (Background-view, (Outdoors, Field, Grassy-terrain, Plant))"	"(Property/Sensory-property/Sensory-presentation/Visual-presentation/Foreground-view,((Property/Data-property/Data-value/Quantitative-value/Item-count/3,((Item/Biological-item/Organism/Human,Agent/Human-agent),Item/Biological-item/Anatomical-item/Body,Property/Agent-property/Agent-trait/Sex/Female,Property/Agent-property/Agent-trait/Adolescent,Action/Perform/Play)),(Property/Data-property/Data-value/Quantitative-value/Item-count/1,Item/Object/Man-made-object/Toy))),(Property/Sensory-property/Sensory-presentation/Visual-presentation/Background-view,(Property/Environmental-property/Outdoors,Item/Object/Natural-object/Natural-feature/Field,Property/Environmental-property/Terrain/Grassy-terrain,Item/Biological-item/Organism/Plant))"
shared0009_nsd03182.png	3181	650	"(Foreground-view, (Item-count/1, Animal)), (Background-view, (Plant, Car, Outdoors))"	"(Property/Sensory-property/Sensory-presentation/Visual-presentation/Foreground-view,(Property/Data-property/Data-value/Quantitative-value/Item-count/1,Item/Biological-item/Organism/Animal)),(Property/Sensory-property/Sensory-presentation/Visual-presentation/Background-view,(Item/Biological-item/Organism/Plant,Item/Object/Man-made-object/Vehicle/Car,Property/Environmental-property/Outdoors))"
shared0010_nsd03387.png	3386	1308	"(Foreground-view, ((Item-count/1, ((Human, Human-agent), Body, Male, Agent-trait/Adult, Play)), (Item-count/1, Man-made-object))), (Background-view, (Outdoors, Natural-feature/Ocean, Natural-feature/Sky))"	"(Property/Sensory-property/Sensory-presentation/Visual-presentation/Foreground-view,((Property/Data-property/Data-value/Quantitative-value/Item-count/1,((Item/Biological-item/Organism/Human,Agent/Human-agent),Item/Biological-item/Anatomical-item/Body,Property/Agent-property/Agent-trait/Sex/Male,Property/Agent-property/Agent-trait/Adult,Action/Perform/Play)),(Property/Data-property/Data-value/Quantitative-value/Item-count/1,Item/Object/Man-made-object))),(Property/Sensory-property/Sensory-presentation/Visual-presentation/Background-view,(Property/Environmental-property/Outdoors,Item/Object/Natural-object/Natural-feature/Ocean,Item/Object/Natural-object/Natural-feature/Sky))"
